Job_Title,URL,Job Type,Company,City,State,Minimum Salary,Maximum Salary,Skills
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=626&ao=177462&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_67348d5a&cb=1522358295595&jobListingId=2671657576,Internship, Continental,Auburn Hills,MI,39000,57000,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1126&ao=311349&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a182a99&cb=1522358681893&jobListingId=2702643360,Internship, Sandia National Laboratories,Livermore,CA,0,0,rest
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1822&ao=173064&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=L&ist=&ast=L&vt=w&slr=true&rtp=0&cs=1_1e502904&cb=1522359264083&jobListingId=2704725238,Internship, AARP,Washington,DC,0,0,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1227&ao=60939&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1a9b4a15&cb=1522358763750&jobListingId=2650749870,Internship, Econolite,Colorado Springs,CO,31000,45000,"rest,aws"
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1815&ao=133170&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_13f47bc6&cb=1523204919814&jobListingId=2634615869,Internship, Zebra Technologies,Lincolnshire,IL,0,0,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1522&ao=132998&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_c95915a9&cb=1523204830804&jobListingId=2682042906,Internship, Overstock.com,Midvale,UT,66000,92000,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1817&ao=232986&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_86b925d8&cb=1523204919822&jobListingId=2682604291,Internship, NIO,San Jose,CA,0,0,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=526&ao=136686&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_138c4de5&cb=1522358229834&jobListingId=2651011323,Internship, General Dynamics Land Systems,Sterling Heights,MI,35000,51000,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=1430&ao=178861&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8a46fe53&cb=1522358936754&jobListingId=2651011268,Internship, General Dynamics,Sterling Heights,MI,37000,55000,
 Software Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=2226&ao=177462&s=58&guid=1234567890abcdef1234567890abcdef&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_37dcc486&cb=1522359588707&jobListingId=2675153420,Internship, Continental,Dearborn,MI,44000,65000,
